Stock A,Stock B,Z Entry Threshold A,Z Entry Threshold B,Z Exit Threshold,Stop Loss Threshold,Final Cumulative Returns,Final Sharpe Ratio,Final Sortino Ratio,Final Max Drawdown,Total Trades,Win Rate,Profit Factor,Average Profit,Average Loss,Timestep 1
GLH,H8020,-1.8455127216031413,2.5035646097647826,-0.34363322326727896,0.05,"(10336.359880069896,)","(1.4364653895158344,)","(0.8349317921051546,)","(0.003938511377358639,)","(4.0,)",0.25,"(0.22808219178082165,)","(3.3299999999999947,)",7.299999999999997,10336.359880069896
SNLI,HHL,-2.349368646228492,1.1947737335929542,-0.019758340372180938,0.05,"(12488.196671719785,)","(1.5967163441323475,)","(0.4180639481501721,)","(0.029394943663184625,)","(11.0,)",0.7272727272727273,"(2.8177113540040133,)","(15.789750000000003,)",22.41500000000002,12488.196671719785
SNLI,LVF2,-2.3008521183874526,2.8105025163444792,-0.411436081336198,0.05,"(23061.953820242135,)","(1.287275207736634,)","(1.0753260687737363,)","(0.053736641564424655,)","(4.0,)",0.75,"(3.8942499999999955,)","(10.384666666666655,)",8.0,23061.953820242135
SNLI,HPPL,-2.1353881472923377,1.221066929357786,-0.14915378251613376,0.05,"(14645.95953104981,)","(2.1413821561691484,)","(0.42228143904233933,)","(0.10018963852958579,)","(16.0,)",0.4375,"(1.0881992040680954,)","(14.062642857142853,)",10.051111111111119,14645.95953104981
SNLI,HURJA,-1.8409773822455693,2.6141233143896048,0.050633071455111645,0.05,"(9606.852957757304,)","(-1.0630155523992184,)","(-0.08075186529153691,)","(0.06881026427885702,)","(9.0,)",0.5555555555555556,"(4.583453794527626,)","(17.756300000000003,)",6.456666666666659,9606.852957757304
SNLI,H8020,-2.8235289173398916,2.8081742871548814,0.42972433695148116,0.05,"(10000.0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)",0.0,"(inf,)","(0.0,)",0.0,10000.0
MFIL,CITY,-1.9663371683700916,2.127921982141635,0.16240315645049386,0.05,"(13436.007833707772,)","(1.863845926108775,)","(0.6271383770579807,)","(0.024948803744343103,)","(13.0,)",0.6153846153846154,"(2.5170762286860566,)","(31.369062499999995,)",19.94000000000001,13436.007833707772
MFIL,MBJC,-2.8490286354551637,2.043935448190542,0.30137388549381816,0.05,"(11720.159282506207,)","(0.13232133201427404,)","(0.01617735406306425,)","(0.1330421305698093,)","(21.0,)",0.47619047619047616,"(0.7759259259259256,)","(15.502999999999995,)",18.163636363636364,11720.159282506207
MFIL,SAGF,-1.0063031804377527,2.2719299643780384,-0.02493608622936594,0.05,"(3943.3359946696432,)","(0.17065589309970833,)","(0.03433219486278953,)","(0.7558374039878313,)","(33.0,)",0.7575757575757576,"(2.2294596165020346,)","(6.139039999999998,)",9.834285714285707,3943.3359946696432
MFIL,SRLI,-1.2078814322266884,2.0814053646978987,-0.48427293532654225,0.15000000000000002,"(11119.915306090628,)","(-0.19493212656266212,)","(-0.02793442791920217,)","(0.062465683609565344,)","(34.0,)",0.5882352941176471,"(1.1729159673939105,)","(24.4611625,)",29.79285714285714,11119.915306090628
MFIL,PRSF,-1.237106839219662,1.6985817390596407,-0.21467747500351886,0.05,"(9783.414462968205,)","(1.3575371642344232,)","(0.24144811555426174,)","(0.9939893026355129,)","(47.0,)",0.7021276595744681,"(2.8609855267084474,)","(5.810401515151516,)",5.1553846153846115,9783.414462968205
HDL,SARBTM,-2.0650644957921003,2.61225365145695,-0.21243879695051426,0.05,"(10000.0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)",0.0,"(inf,)","(0.0,)",0.0,10000.0
GWFD83,SFMF,-2.06907394307057,1.2394870042012327,0.352287060892729,0.05,"(-3496538717110.731,)","(1.0547035233696005,)","(0.18557674558434908,)","(6.152578581643225,)","(56.0,)",0.6964285714285714,"(0.7048464491362764,)","(3.578089743589746,)",11.645882352941184,-3496538717110.731
GWFD83,JBBD87,-1.48479343194909,1.1631847450119785,-0.18785274054962053,0.05,"(10500.991693413795,)","(1.0865292701820184,)","(0.5049798287171819,)","(0.01207204800872089,)","(15.0,)",0.4666666666666667,"(1.283826945412314,)","(15.791071428571444,)",12.299999999999986,10500.991693413795
GWFD83,KSBBLD87,-1.0449097051449427,2.1791363693422214,0.49673522936890613,0.05,"(10078.48532539205,)","(0.8734168644137905,)","(0.2802746313954639,)","(0.0029970010000001475,)","(3.0,)",1.0,"(inf,)","(17.883333333333336,)",0.0,10078.48532539205
GWFD83,RBBD83,-1.4156157201615893,2.0999111553693766,0.32655470772599327,0.05,"(10256.243264210543,)","(0.6427422128236393,)","(0.291346319624124,)","(0.004059163269766385,)","(7.0,)",0.8571428571428571,"(inf,)","(15.956250000000034,)",0.0,10256.243264210543
GWFD83,NICGF,-2.6308470887794835,2.2473303467702106,-0.3716870928310295,0.05,"(33790763.31133887,)","(1.1200905795833869,)","(0.8249374002173556,)","(0.9113207122610945,)","(23.0,)",0.6521739130434783,"(1.4879977246871432,)","(6.103766666666666,)",7.6912500000000055,33790763.31133887
GWFD83,CBLD88,-1.143276018428559,2.566625941500301,-0.3636708537930333,0.1,"(12071.290800651184,)","(0.6319345010021105,)","(0.35872341902784033,)","(0.02064250842958582,)","(41.0,)",0.6829268292682927,"(3.404770553335754,)","(20.08571428571429,)",12.706153846153851,12071.290800651184
GWFD83,SBID89,-1.4247159546930093,1.9599581918903357,-0.0875591678293367,0.05,"(10385.86861637441,)","(1.4219304611034864,)","(0.34197700394748687,)","(0.011345099514714681,)","(7.0,)",0.8571428571428571,"(17.963499999999982,)","(14.969583333333318,)",5.0,10385.86861637441
GWFD83,SARBTM,-1.8857689541312146,1.9341153459352862,0.12209664532572084,0.05,"(10000.0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)",0.0,"(inf,)","(0.0,)",0.0,10000.0
GWFD83,NICFC,-2.587737503083018,1.9696195586175564,0.4614810020773744,0.05,"(790280.7685591943,)","(0.5016750553694301,)","(0.06590846623809614,)","(5.71662449675441,)","(10.0,)",0.6,"(1.583173076923076,)","(0.13720833333333315,)",0.1299999999999999,790280.7685591943
GWFD83,PSF,-1.8062964391320406,2.235931509453443,0.12274817793517745,0.05,"(30640634.32357629,)","(1.148290098560855,)","(0.8285456079700857,)","(0.8935816162369085,)","(38.0,)",0.6578947368421053,"(5.117495695427594,)","(10.699660000000003,)",4.3558333333333294,30640634.32357629
GWFD83,SBLD84,-2.866214351081042,2.2882572064612603,-0.3000470839932736,0.05,"(9748.720317288837,)","(-1.6688493177907358,)","(-0.1383548636670114,)","(0.07074410576141724,)","(15.0,)",0.4666666666666667,"(1.680586080586082,)","(19.662857142857153,)",10.237499999999997,9748.720317288837
GWFD83,NICSF,-1.587038203780585,2.0702066672233137,0.1265410561204745,0.05,"(356846110.7385155,)","(1.4767336575230725,)","(0.45609907690813634,)","(6.08716146066585,)","(61.0,)",0.639344262295082,"(2.6061920680747614,)","(8.795564102564112,)",6.267619047619053,356846110.7385155
GWFD83,SBIBD86,-1.4796951508116554,2.657687741726871,-0.05960390608227928,0.1,"(10062.73534062673,)","(-1.3554992660300382,)","(-0.18763132538448035,)","(0.04855498230898003,)","(24.0,)",0.625,"(0.9610173456168133,)","(17.80316666666668,)",30.875555555555568,10062.73534062673
GWFD83,PRSF,-1.3324136548394951,2.411109068826924,0.4156145896686634,0.05,"(10804.142938829471,)","(0.6003999616989538,)","(0.28542232619239666,)","(0.013909363000998765,)","(19.0,)",0.5263157894736842,"(1.8632395038167937,)","(19.52674999999999,)",11.644444444444439,10804.142938829471
GWFD83,LBLD86,-1.733477719274551,2.5190690765688535,-0.13298033827806144,0.1,"(9439.838173071083,)","(-2.4143285471352627,)","(-0.2064272076721291,)","(0.07967906933263746,)","(37.0,)",0.4864864864864865,"(1.6929910998092803,)","(14.794861111111105,)",8.278947368421056,9439.838173071083
KMCDB,KDL,-1.89566861154908,2.8541221960983303,0.2906202059330326,0.05,"(10561.550600504019,)","(0.028445063548102452,)","(0.0028639793730485395,)","(0.08195122580645182,)","(8.0,)",0.75,"(2.7164702233250604,)","(36.49124999999999,)",40.30000000000001,10561.550600504019
KMCDB,BHPL,-1.0341215908669592,2.6356603262145097,0.15103413760417472,0.05,"(11658.910049276565,)","(0.3870444511247228,)","(0.044388058602047184,)","(0.08103225806451639,)","(35.0,)",0.6,"(1.013460889518795,)","(21.45207142857142,)",34.19307692307694,11658.910049276565
KMCDB,SIKLES,-1.3305801381286089,2.756016474013033,0.0032903348951527356,0.05,"(11095.762534986878,)","(0.18913930359062742,)","(0.033043023931148524,)","(0.053682047333887976,)","(19.0,)",0.47368421052631576,"(0.6137720962748425,)","(27.314222222222213,)",40.052,11095.762534986878
HEI,SAGF,-2.697965105811879,1.0754276477428424,-0.35753281020599603,0.1,"(-639.1060434971903,)","(-0.7694271791488663,)","(-0.060929206521911555,)","(4.84970374840502,)","(14.0,)",0.7857142857142857,"(0.44619922341696405,)","(2.7161363636363585,)",22.32000000000002,-639.1060434971903
HEI,LVF2,-2.8242322121260344,1.783011269727225,0.47844362725174927,0.05,"(-1512.1925402788625,)","(0.949904320121014,)","(0.12225135387830582,)","(1.1420088780249211,)","(8.0,)",0.75,"(5.265384615384624,)","(0.22816666666666685,)",0.1299999999999999,-1512.1925402788625
HEI,C30MF,-2.3364765144215456,2.492527437917224,-0.04673485751895856,0.05,"(15118.60343175288,)","(1.090390863963512,)","(0.2707514117053914,)","(0.06410048286255293,)","(5.0,)",0.6,"(0.367564788153024,)","(2.978500000000006,)",12.155000000000006,15118.60343175288
HEI,SIGS3,-1.254813221167837,2.039915596105198,0.07868259558043134,0.1,"(15362.636553842445,)","(-2.1096920938942465,)","(-0.13014664161146794,)","(6.0405397613987475,)","(9.0,)",0.2222222222222222,"(0.22281563126252465,)","(2.7796250000000002,)",4.158333333333341,15362.636553842445
HEI,H8020,-1.196539854493591,2.7484723230784422,-0.3673975178223102,0.05,"(10215.761859372822,)","(0.46816530465272,)","(0.06379465008102081,)","(0.023861426626999416,)","(9.0,)",0.5555555555555556,"(1.586709283911675,)","(10.059736860000033,)",7.925000000000011,10215.761859372822
HEI,PRSF,-2.746738491968509,1.4095582536102287,-0.03173554171876536,0.05,"(2709755.6168293706,)","(2.063558215984701,)","(0.8731978889735267,)","(0.6751969255064592,)","(18.0,)",0.7222222222222222,"(5.6567307692307685,)","(0.22626923076923056,)",0.10399999999999991,2709755.6168293706
GBIME,CITY,-1.317930778105207,1.8377553450508217,-0.07351181917677452,0.05,"(10108.315918956954,)","(-0.6280343529075594,)","(-0.07494894947130384,)","(0.029275330687683974,)","(21.0,)",0.42857142857142855,"(1.0050964536949738,)","(15.39919444444444,)",12.535454545454547,10108.315918956954
GBIME,GIBF1,-1.5229910332980654,1.599368895959547,0.07510313207577002,0.1,"(24900.05090071329,)","(1.2757108294248374,)","(0.2012106811223044,)","(0.9612086752102884,)","(43.0,)",0.4883720930232558,"(0.8547081497797362,)","(2.217357142857144,)",2.476363636363636,24900.05090071329
GBIME,SPL,-1.6221771199085167,2.7353375772215944,-0.31632078046178014,0.05,"(10007.18588721863,)","(-1.202623276975737,)","(-0.11705555226733216,)","(0.03369443055981165,)","(13.0,)",0.46153846153846156,"(0.33613999032882025,)","(4.634250000000001,)",13.786666666666662,10007.18588721863
ULHC,SFMF,-2.7714891640735284,1.9815560324367247,0.2698435966501648,0.05,"(30838.170676344413,)","(1.4080563101879262,)","(1.4489513463553556,)","(0.1627796917112751,)","(5.0,)",0.4,"(1.7636666666666663,)","(0.6613749999999998,)",0.375,30838.170676344413
